title,lyrics
Marigold,"[""He's there in case I want it all"", ""He's scared 'cause I want"", ""He's scared in case I want it all"", ""He's scared 'cause I want"", 'All in all the clock is slow', 'Six colour pictures all in a row of a marigold', ""He's there in case I want it all"", ""He's scared 'cause I want"", ""He's there in case I want it all"", ""He's scared 'cause I want"", 'All in all the clock is slow', 'Six colour pictures all in a row of a marigold', ""He's there in case I want it all"", ""He's scared 'cause I want it all"", ""He's there in case I want it all"", ""He's there 'cause I want it"", 'All in all the clock is slow', 'Six colour pictures all in a row of a marigold']"
Mexican Seafood,"['All the itchy flakes, it is a flaming', 'All the gels and cremes it is pertaining', 'To a fungus mold cured by injection', ""Hope it's only, ah, a yeast infection"", 'Oh, well, it burns when I', 'It hurts when I pee', 'Oh, well, it hurts when I', 'It hurts when I see', 'Now I vomit cum and diarrhoea', 'On the tile floor like oatmeal pizza', 'Fill my toilet bowl full of a cloudy', 'Puss, I feel the blood becoming chowder rust', 'Oh, well, it burns when I', 'It hurts when I pee', 'Oh, well, it hurts when I', 'It hurts when I see', 'Roll into my bed which does consist of', 'Lice, bugs and fleas and yellow mucus', 'Stained dirt, vaseline, Toe Jam and Booger', 'Stomach acid worms that dance in sugared sludge', 'Hmm']"
Milk It,"['I am my own parasite', ""I don't need a host to live"", 'We feed off of each other', 'We can share our endorphins', 'Doll steak', 'Test meat', 'Look on the bright side is suicide', ""Lost eyesight I'm on your side"", 'Angel left wing, right wing, broken wing', 'Lack of iron, and/or sleeping', 'I won my own pet virus', 'I get to pet and name her', 'Her milk is my shit', 'My shit is her milk', 'Test meat', 'Doll steak', 'Look on the bright side is suicide', ""Lost eyesight I'm on your side"", 'Angel left wing, right wing, broken wing', 'Lack of iron, and/or sleeping', 'Doll steak', 'Test meat', 'Look on the bright side is suicide', ""Lost eyesight I'm on your side"", 'Angel left wing, right wing, broken wing', 'Lack of iron, and/or sleeping', 'Protector of the kennel', 'Ecto-plasma, ecto-skeletal', 'Obituary birthday', 'Your scent is still here in my place of recovery']"
Misery Loves Company,"['To hope is admittance ', 'Feed before beginning ', 'Double-sided cynics ', 'Reflected images ', ""Don't be so selfish "", 'Leaving the image ', 'Follow it far ', 'To find where you are ', ""You haven't grown "", 'Go on alone ', 'Never finished his sentence ', 'Remained in seclusion ', 'For the next few days ', 'Family is circuling ', 'He having moved up ', 'All the styles of heresy ', 'Finally he appeared unexpectedly ', 'Looking for company']"
Miss Me,"[""Yes I'm leaving,"", 'Filthy hands hey hey', 'Meet me hey, hey hey', 'And miss me, hey, hey, hey', 'Prefer me stay hey hey', 'And a one day...', 'And you gonna miss me hey, hey', 'You gonna miss me']"
Moist Vagina,"['She has a moist vagina', 'I particularly enjoy the circumference', ""I'll be sucking the warts off her anus"", 'Off her anus', 'I prefer her to any other', 'Marijuana', 'Marijuana', 'Marijuana', 'She had a moist vagina', 'I preferred her to any other', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana', 'Marijuana']"
Molly's Lips,"['She said', ""She'd take me anywhere"", ""She'd take me anywhere"", 'As long as she stays with me', 'She said', ""She'd take me anywhere"", ""She'd take me anywhere"", 'As long as I stay clean', ""Kiss, kiss, Molly's lips"", ""Kiss, kiss, Molly's lips"", ""Kiss, kiss, Molly's lips"", ""Kiss, kiss, Molly's lips""]"
More Than A Feeling,"[""It's more than a feeling (more than a feeling)"", 'When i hear that old song they used to play', 'And i begin dreaming (more than a feeling)', ""'till i see marianne walk away""]"
Mr. Moustache,"['Fill me in on your new vision', 'Wake me up with indecision', 'Help me trust your mighty wisdom', 'Yes, I eat cow, I am not proud', 'Show me how you question questions', 'Lead the way to my temptations', 'Take my hand and give it cleaning', 'Yes, I eat cow, I am not proud', 'Is he in an easychair?', 'Poop as hard as a rock', ""I don't like you anyway"", 'Silly little fucks', ""I'm who?"", ""I'm you"", 'Fill me in on your new vision', 'Wake me up with indecision', 'Help me trust your mighty wisdom', 'Yes, I eat cow, I am not proud', 'Show me how you question questions', 'Lead the way to my temptations', 'Take my hand and give it cleaning', 'Yes, I eat cow, I am not proud', 'Is he in an easychair?', 'Poop as hard as a rock', ""I don't like you anyway"", 'Seal it in a box', ""I'm who?"", ""I'm you"", ""I'm who?"", ""I'm you""]"
Mrs. Butterworth,"['Your life is shit', 'Shit', 'Your life is over', 'Bull', 'Your life is mine', 'Cry', 'Your life is hell', 'Hell', ""I'm gonna die"", 'Dying with you just', ""I'm going to die"", 'To wear my libido', ""I'm gonna try"", 'To find it with you just', ""I'm gonna try"", 'Do what they say', 'Your life is shit', 'Shit', 'Your life is strange', 'And insane', 'Your life is not the size of crap', 'Your life is now', 'Now', ""I'm gonna die"", 'Dying with you just', ""I'm going to hell"", 'Without my libido', ""I'm gonna try"", 'To find it with you just', ""I'm going to hell"", 'Without my libido', ""I'm gonna die"", 'Dying with you just', ""I'm going to hell"", 'Without my libido', ""I'm gonna try"", 'To find it with you just', ""I'm gonna die"", 'Do what they say', 'Your life is shit', ""I'm gonna open myself up a flea market"", ""I'm gonna open myself up a flea market"", ""And you're gonna wish that you did"", 'And retire on the profits', 'First off', ""I'm gonna empty out all of my Mrs. Butterworth jars"", ""And I'm gonna put 'em on a shelf with my 800 dollar a month tax free Century 21 shop"", 'And then I am going to put my Mrs. Butterworth syrup jars on the shelf', ""Next to all the commemorative fast food chain glasses and cups I've accumulated over the past 62 years"", ""Then I'm going to get some plywood"", ""I'm going to get some plywood and cut them up into two by two piece squares"", ""Then I'm going to get some burlap and I'm going to cut them into two by two piece squares and then I'm going to put them onto the pieces of plywood"", ""And then I'm going to go to the beach"", ""I'm going to go to the beach and I'm gonna collect some shells and driftwood"", ""And then I'm going to take the shells and driftwood and glue them onto the plywood and burlap"", 'And sell em for lots of money', 'People will be paying top dollar for my kids new used new toys and clothing', ""Then maybe someday I can get rid of that piss stained mattress I've been sleeping on""]"
My Best Friends Girl,"[""You're always dancing down the street"", 'With your suede blue eyes', 'And every new boy that you meet', ""He doesn't know the real surprise"", 'Here she comes again', ""When she's dancing 'neath the starry sky"", ""She'll make you flip"", 'Here she comes again', ""When she's dancing 'neath the starry sky"", 'You kinda like the way she dips', ""She's my best friend's girl"", ""She's my best friend's girl"", 'And she used to be mine', ""You've got your nuclear boots"", 'And your drip dry glove', 'And when you bite your lip', ""It's some reaction to love""]"
My Sharona,"['Ooh, my little pretty one, my pretty one', 'When you gonna give me some time, Sharona', 'Ooh, you make my motor run, my motor run', ""Got it comin' off o' the line, Sharona"", 'Never gonna stop, give it up, such a dirty mind', 'I always get it up for the touch of the younger kind', 'My, my, my, aye-aye, whoa!', 'M-m-m-my Sharona', 'Come a little closer, huh, a-will ya, huh?', 'Close enough to look in my eyes, Sharona', ""Keepin' it a mystery, it gets to me"", ""Runnin' down the length of my thigh, Sharona"", 'Never gonna stop, give it up, such a dirty mind', 'I always get it up for the touch of the younger kind', 'My, my, my, aye-aye, whoa!', 'M-m-m-my Sharona', 'M-m-m-my Sharona', 'When you gonna give to me, a gift to me', 'Is it just a matter of time, Sharona?', 'Is it d-d-destiny, d-destiny', 'Or is it just a game in my mind, Sharona?', 'Never gonna stop, give it up, such a dirty mind', 'I always get it up for the touch of the younger kind', 'My, my, my, aye-aye, whoa!', 'M-m-m-m-m-m-m-my, my, my, aye-aye, whoa!', 'M-m-m-my Sharona', 'M-m-m-my Sharona', 'M-m-m-my Sharona', 'M-m-m-my Sharona', 'Ooooooo-ohhh, my Sharona', 'Ooooooo-ohhh, my Sharona', 'Ooooooo-ohhh, my Sharona']"
Negative Creep,"['This is out of our reach', 'This is out of our reach', ""This is out of our reach and it's grown"", 'This is getting to be', 'This is getting to be', 'This is getting to be drone', ""I'm a negative creep"", ""I'm a negative creep"", ""I'm a negative creep and I'm stoned!"", ""I'm a negative creep"", ""I'm a negative creep"", ""I'm a negative creep and I'm, and I'm"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", 'This is out of our range', 'This is out of our range', ""This is out of our range and it's crude"", 'This is getting to be', 'This is getting to be', 'This is getting to be like drone', ""I'm a negative creep"", ""I'm a negative creep"", ""I'm a negative creep and I'm stoned!"", ""I'm a negative creep"", ""I'm a negative creep"", ""I'm a negative creep and I'm and I'm"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", 'Fuck! Yeah!', 'Drone!', 'Stoned!', ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more"", ""Daddy's little girl ain't a girl no more""]"
New Wave Polly,"['Polly wants a cracker ', 'I think I should get off her first ', 'Maybe think she wants some water ', 'To put out the blow torch ', ""It isn't me "", 'We have some seed ', 'Let me clip ', 'Your dirty wings ', 'Let me take a ride ', ""Don't hurt yourself "", 'I want some help ', 'To please myself ', ""I've got some rope "", ""Haven't told "", 'I promise you ', 'I have been true ', 'Let me take a ride ', ""Don't hurt yourself "", 'I want some help ', 'To please myself ', 'Polly wants a cracker ', 'Maybe she would like more food ', 'She asks me to untie her ', 'A chase would be nice for a few ', 'Polly said ', 'Polly says her back hurts ', ""And she's just as bored as me "", 'She caught me off my guard ', 'It amazes me, the will of instinct']"
Nobody Knows I'm New Wave,"['Sure, I can shit anywhere and I promise to kill', 'I will shit on the stage and I´ll', ""Crawl with the sound and I'm falling down"", 'If I...???', 'I choose to shit anywhere and I promise to shit on your head, if you want', ""I've forgotten to bother to ???"", '??? with ???', ""God, I'm shit"", ""I'll shit anywhere"", 'And now I choose you', 'Shit on your face', ""And I'm...right"", 'And God, oh God', 'Oh why/wife my ???', 'Want my ???', 'I´m new wave (3x)', 'Aaahh', 'I´m new wave (3x)', ""I'm old school (2x)"", ""I'm new wave"", ""I'm afraid"", ""I'm a wave (2x)"", ""I'm new wave and I'll shit anywhere that I please""]"
Oh Me,"['If I had to lose a mile', 'If I had to touch feelings', 'I would lose my soul', 'The way I do', ""I don't have to think"", 'I only have to do it', 'The results are always perfect', ""But that's old news"", 'Would you like to hear my voice', 'Sweetened with emotion', 'Invented at your birth?', ""I can't see the end of me"", 'My whole expanse I cannot see', 'I formulate infinity', 'And store it deep inside of me', 'If I had to lose a mile', 'If I had to touch feelings', 'I would lose my soul', 'The way I do', ""I don't have to think"", 'I only have to do it', 'The results are always perfect', 'But thats old news', 'Would you like to hear my voice', 'Sprinkled with emotion', 'Invented at your birth?', ""I can't see the end of me"", 'My whole expanse I cannot see', 'I formulate infinity', 'And store it deep inside me', 'I formulate infinity', 'And store it deep inside me']"
Oh the Guilt,"['She seems to think', 'She seems too weak', 'She takes a week to get over it', 'She likes the sea', 'She likes to see', 'She likes to think she has all of it', 'She likes the sound', 'She likes the sand', ""She likes to stand, she can't afford to sit"", 'She likes to be', ""She's into guilt"", 'Guilt', 'She likes to think', 'she likes to drink', 'She seems too weak, she takes all the rent', 'She likes the time', 'she owns the time', 'She borrows time to self-invent', 'She seems too weak', 'she likes to see', 'She likes to think she has all of it', 'She likes the sand', 'she likes to stand', 'She likes to sit', 'she likes to go', 'Go', 'She likes to be', 'She likes to go', 'Go']"
Old Age,"['One more day to complete my service', 'One more high to decay my nervous', ""Wondering how I'm gonna find a way"", ""It's over"", 'One more day to complete my service', 'One more time here to fade my servant', 'One more day if I find a way', 'Over', 'She seemed to read minds', 'And I know a later time', 'We could make it with you', 'Leave the soul', 'Old age', 'Old age', 'Old age', 'Old age', 'One more day to complain my servant', 'One more doubt here to find a servant', 'One more time here if I find a way', ""It's over"", ""Wondering how I'm here date my cover"", 'One more doubt here to save my never', ""Wondering how I'm gonna find a way"", ""It's over"", 'She seemed to read minds', 'And I know a later time', 'We could make it with you', 'Leave the soul', 'Old age', 'Old age', 'Old age', 'Old age', 'Just you need', 'And read', ""You're freak"", 'And knew', 'You read', 'You flew', 'One more day to conplete my circuit', 'One more high here to find my nervous', ""Someday I'm gonna find a way"", ""It's over"", 'One more doubt here to claim my supper', 'I can have anything you want to', 'One more day if I find a way', ""It's over"", 'She seemed to read minds', 'And I know we were out of time', 'Breathe the way here with you', 'Dream the same on the dew', 'Breathe the same on her', 'Take a moan on a man', 'Breathe the shame on you', 'Breathe the lie', 'Old age', 'Old age', 'Old age']"
On A Plain,"[""I'll start this off without any words"", ""I got so high I scratched 'till I bled"", 'I love myself better than you', ""I know it's wrong, so what should I do?"", ""The finest day that I've ever had"", 'Was when I learned to cry on command', 'I love myself better than you', ""I know it's wrong, so what should I do?"", ""I'm on a plain"", ""I can't complain"", ""I'm on a plain"", 'My mother died every night', ""It's safe to say, quote me on that"", 'I love myself better than you', ""I know it's wrong, so what should I do?"", 'The black sheep got blackmailed again', 'Forgot to put on the zip code', 'I love myself better than you', ""I know it's wrong, so what should I do?"", ""I'm on a plain"", ""I can't complain"", ""I'm on a plain"", 'Somewhere I have heard this before', 'In a dream my memory has stored', ""As a defence I'm neutered and spayed"", 'What the hell am I trying to say?', 'It is now time to make it unclear', ""To write off lines that don't make sense"", 'I love myself better than you', ""I know it's wrong, so what should I do?"", 'And one more special message to go', ""And then I'm done, and I can go home"", 'I love myself better than you', ""I know it's wrong, so what should I do?"", ""I'm on a plain"", ""I can't complain"", ""I'm on a plain"", ""I can't complain"", ""I'm on a plain"", ""I can't complain"", ""I'm on a plain"", ""I can't complain"", ""I'm on a plain""]"
On The Mountain (A.K.A. You Got No Right),"['I would never bother you', 'I would never promise to', 'I would never bother you', 'I would never promise to', 'If I say that word again', 'I would move away from here', ""You won't be afraid of fear"", ""You won't be afraid of fear"", ""You won't be afraid of fear"", 'I am walking in the piss', 'Always knew it would come to this', 'Things have never been so swell', 'And I have never felt so well', ""You know you're right"", ""You know you're right"", ""You know you're right"", ""Whistle and I'll come inside"", 'I no longer have to hide', ""Let's talk about someone else"", 'She just wants to love herself', 'She moves away from here', 'She just wants to love herself', ""I won't move from here"", ""You won't be afraid of fear"", ""I won't move from here"", ""You won't be afraid of fear"", 'I am walking in the piss', 'Always knew it would come to this', 'Things have never been so swell', 'And I have never been so well', ""You know you're right"", ""You know you're right"", ""You know you're right"", ""Maybe you're right...""]"
Opinion,"['Congratulations, You have won', 'Its a years subscription of bad puns', 'And a make shift story of concern', 'And to set it up before it burns', 'My Opinions...', 'Now there seems to be a problem here', 'The scale of emotions seem too clear', 'Now they rise a tail like Wall Street stock', 'And they have an affect on our peace talks', 'My Opinions...', 'Congratulations, You have won', 'Its a years subscription of bad puns', 'And a make shift story of concern', 'And to set it up before it burns', 'My Opinions...']"
Paper Cuts,"[""When I'm feeling tired"", 'She pushed food through the door', 'And I crawl towards the crack of light', ""Sometimes I can't find my way"", 'Newspapers spread around', 'Soaking all that they can', 'A cleaning is due again', 'A good hosing down', 'The lady whom I feel maternal love for', 'Cannot look me in the eyes', 'But I see hers and they are blue', 'And they cock and twitch and masturbate', 'I said so', 'I said so', 'I said so', 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana', 'Black windows of paint', 'I scratched with my nails', 'I see others just like me', 'Why do they not try to escape?', 'They bring out the older ones', 'They point in my way', 'They come with a flash of light', 'And take my family away', 'And very later I have learned', 'To accept some friends of ridicule', 'My whole existence is for your amusement', ""And that is why I'm here with you!"", 'To take', 'Me with', ""You're right"", 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana', 'Nirvana']"
Pay To Play,"[""Monkey see, monkey do -- I don't know why I"", ""Walk around, follow you -- I don't know why I"", ""Throw it out, keep it in -- I don't know why I"", ""Have to have poison skin -- I don't know why I"", 'Pay', 'Pay to play', ""Walk an inch, take a mile -- I don't know why I"", ""Never faded, never smiled -- I don't know why I"", ""Never mind, eat and run -- I don't know why I"", ""Fuck your ass, for the fun -- I don't know why I"", ""I don't know why I"", 'Pay', 'Pay to play']"
Pen Cap Chew,"['Lesser God, loathe me', ""Lesser God, you're lonely"", 'Lesser God, loathe me', 'You get, you get, you get, you get to me', ""Holy is the time, it's such an easy way to go"", 'You get, you get, you get, you get to be', 'Hide the struggle in the skin under a fingernail', 'Lesser God, loathe me', ""Lesser God, you're lonely"", 'Lesser God, loathe me', ""Lesser God, you're lonely"", 'Waste your time by saving worthless gullibles', 'Kill a politician and then wear his clothes', 'This decade is the age of rehashing', 'Protest and then go to jail for trespassing', ""To me it's insane"", 'Go home, go']"
Pennyroyal Tea,"[""I'm on my time with everyone"", 'I have very bad posture', 'Sit and drink pennyroyal tea', ""Distill the life that's inside of me"", 'Sit and drink pennyroyal tea', ""I'm anemic royalty"", 'Give me a Leonard Cohen afterworld', 'So I can sigh eternally', ""I'm so tired I can't sleep"", ""I'm a liar and a thief"", 'Sit and drink pennyroyal tea', ""I'm anemic royalty"", ""I'm on warm milk and laxatives"", 'Cherry-flavored antacids', 'Sit and drink pennyroyal tea', ""Distill the life that's inside of me"", 'Sit and drink pennyroyal tea', ""I'm anemic royalty""]"
Plateau,"['Many a hand has scaled the grand old face of the plateau', 'Some belong to strangers and some to folks you know', 'Holy ghosts and talk show hosts are planted in the sand', 'To beautify the foothills and shake the many hands', 'Nothing on the top but a bucket and a mop', 'And an illustrated book about birds', ""You see a lot up there but don't be scared"", 'Who needs action when you got words', ""When you've finished with the mop then you can stop"", ""And look at what you've done"", ""The plateau's clean, no dirt to be seen"", 'And the work, it was fun', 'Nothing on the top but a bucket and a mop', 'And an illustrated book about birds', ""You see a lot up there but don't be scared"", 'Who needs action when you got words', 'Well the many hands began to scan around for the next plateau', 'Some say it was Greenland and some say Mexico', 'Others decided it was nowhere except for where they stood', ""But those were all just guesses, wouldn't help you if theycould""]"
Polly,"['Polly wants a cracker', 'I think I should get off her first', 'I think she wants some water', 'To put out the blow torch', ""It isn't me, have a seed"", 'Let me clip your dirty wings', 'Let me take a ride, cut yourself', 'Want some help, please myself', ""I've got some rope, you have been told"", 'I promise you, I have been true', 'Let me take a ride, cut yourself', 'Want some help, please myself', 'Polly wants a cracker', 'Maybe she would like some food', 'She asks me to untie her', 'A chase would be nice for a few', ""It isn't me, have a seed"", 'Let me clip your dirty wings', 'Let me take a ride, cut yourself', 'Want some help, please myself', ""I've got some rope, you have been told"", 'I promise you, I have been true', 'Let me take a ride, cut yourself', 'Want some help, please myself', 'Polly said', 'Polly says her back hurts', ""And she's just as bored as me"", 'She caught me off my guard', 'Amazes me the will of instinct', ""It isn't me, have a seed"", 'Let me clip your dirty wings', 'Let me take a ride, cut yourself', 'Want some help, please myself', ""I've got some rope, you have been told"", 'I promise you, I have been true', 'Let me take a ride, cut yourself', 'Want some help, please myself']"
Radio Friendly Unit Shifter,"['Hmm, I just wanna know, do you like me?', 'Use just once and destroy', 'Invasion of our piracy', 'Afterbirth of a nation', 'Starve without your skeleton key', 'I love you for what I am not', 'I do not want what I have got', ""A blanket acne'ed with ciggarette burns"", 'Speak at once while taking turns', 'What is what I need', 'What is wrong with me', 'What is what I need', ""I'm nothing to do with what you think"", 'If you ever think at all', 'Bi-polar opposites attract', 'All of a sudden my water broke', 'I love you for what I am not', 'I do not want what I have got', ""A blanket acne'ed with ciggarette burns"", 'Second-rate third degree burns', 'What is what I need', 'What is wrong with me', 'What do I think I think', 'Hate your enemies', 'Save, save your friends', 'Find, find your place', 'Speak, speak the truth', 'What is what I need', 'What is wrong with me', 'What is what I need', 'What do I think I think', 'Use just once and destroy', 'Invasion of our piracy', 'Afterbirth of a nation', 'Starve without your skeleton key', 'What is wrong with me', 'What is what I need', 'What is wrong with me', 'What do I think I think', 'What is wrong with me', 'What is what I need', 'What do I think I think']"
Rape Me,"['Rape me', 'Rape me, my friend', 'Rape me', 'Rape me again', ""I'm not the only one"", ""I'm not the only one"", ""I'm not the only one"", ""I'm not the only one"", 'Hate me', 'Do it and do it again', 'Waste me', 'Rape me, my friend', ""I'm not the only one"", ""I'm not the only one"", ""I'm not the only one"", ""I'm not the only one"", 'My favourite inside source', ""I'll kiss your open sores"", 'I appreciate your concern', ""You're gonna stink and burn"", 'Rape me', 'Rape me, my friend', 'Rape me', 'Rape me again', ""I'm not the only one"", ""I'm not the only one"", ""I'm not the only one"", ""I'm not the only one"", 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me (rape me)', 'Rape me']"
Raunchola,"['This is a hard, cold beat', 'You can go dance if you like', ""You won't get in trouble"", 'And the tea has some spice', 'You wanna know it hits ya', 'You can make, have some fun', 'Watching them make you away', ""Up on the wall you won't"", 'Aaaaah', ""What's in the wait, your waiter"", 'We only ate your garnish', 'I ordered spam and rice', ""In this to say you're fired"", 'We dance on the table tops', 'We only had your daughter', 'We ordered too many cocktails', ""What's in the way you love""]"
Return Of The Rat,"['You better watch out', 'You better beware', ""They're coming from all sides of the country"", 'You better beware', 'Return of the rat', 'No, no, no, no!', 'You better confess', 'You had better confess', 'You start your mess I know and see you do it.', 'You better confess']"
"Run, Rabbit, Run","['When I looked you in the eye', 'I knew it was time for good-bye', 'You were the only one I had around', 'But you couldn`t keep your feet on the ground', 'Run rabbit run', 'But what`s that you`re runnin`for', 'Run rabbit run', 'You ain`t gonna run no more', 'Bye bye baby, bye bye bird!', 'Trought the cold sidewalk stones', 'Broke your little brittle bones', 'I know you were already dead', 'When the truck rolled over you head', 'Bye bye baby, bye bye bird!']"
Sad,"['And if you say your prayers', 'You will make God happy', ""And if you do what's true"", 'You will make me happy', ""I'll keep you in a jar"", 'And you will seem happy', ""I'll give you breathing holes"", ""You will think you're happy, now"", ""You're in a laundry room"", ""You're in a laundry room"", ""You're in a laundry room"", 'And if you save yourself', 'You will make him happy', ""He'll bring you fine rewards"", 'Then you will feel happy', ""I'll keep you in my room"", ""I'm sure you'll be happy"", 'And if you save your soul', ""You will think you're happy now"", ""You're in a laundry room"", ""You're in a laundry room"", ""You're in a laundry room"", ""You're in a laundry room""]"
Sappy,"['And if you save yourself', 'You will make him happy', ""He'll keep you in a jar"", ""And you'll think you're happy"", ""He'll give you breathing holes"", ""Then you'll think you're happy"", ""He'll cover you with grass"", ""And you'll think you're happy"", 'Now', ""You're in a laundry room"", ""You're in a laundry room"", 'Conclusion came to you, oh', 'And if you cut yourself', ""You will think you're happy"", ""He'll keep you in a jar"", ""Then you'll make him happy"", ""He'll give you breathing holes"", ""Then you'll think you're happy"", ""He'll cover you with grass"", ""Then you'll think you're happy"", 'Now', ""You're in a laundry room"", ""You're in a laundry room"", 'Conclusion came to you, oh', ""You're in a laundry room"", ""You're in a laundry room"", 'Conclusion came to you, oh', 'And if you fool yourself', 'You will make him happy', ""He'll keep you in a jar"", ""And you'll think you're happy"", ""He'll give you breathing holes"", 'Then you will seem happy', ""You'll wallow in your shit"", ""Then you'll think you're happy"", 'Now', ""You're in a laundry room"", ""You're in a laundry room"", ""You're in a laundry room"", 'Conclusion came to you, oh']"
Scentless Apprentice,"['Like most babies smell like butter', 'His smell smelled like no other', 'He was born scentless and senseless', 'He was born a scentless apprentice', 'Hey, go away', 'Go away', 'Go away', 'Every wet nurse refused to feed him', 'Electrolytes smell like semen', 'I promise not to sell your perfumed secrets', 'There are countless formulas for pressing flowers', 'Hey, go away', 'Go away', 'Go away', 'I lie in the soil and fertilize mushrooms', 'Leaking out gas fumes are made into perfume', ""You can't fire me, because I quit"", ""Throw me in the fire and I won't throw a fit"", 'Hey, go away', 'Go away', 'Go away', 'Go away', 'Go away', 'Go away']"
School,"[""Won't you believe, it's just my luck"", ""Won't you believe, it's just my luck"", ""Won't you believe, it's just my luck"", ""Won't you believe, it's just my luck"", 'No recess!', 'No recess!', 'No recess!', ""Won't you believe, it's just my luck"", ""Won't you believe, it's just my luck"", ""Won't you believe, it's just my luck"", ""Won't you believe, it's just my luck"", 'No recess!', 'No recess!', 'No recess!', ""You're in high school again"", ""You're in high school again"", ""You're in high school again"", ""You're in high school again"", ""You're in high school again"", ""You're in high school again"", ""You're in high school again"", ""You're in high school again!"", 'No recess!', 'No recess!', 'No recess!', 'No recess!', 'No recess!', 'No recess!', 'No recess!']"
Scoff,"[""In my eyes, I'm not lazy"", ""In my face, it's not over"", ""In your room, I'm not older"", ""In your eyes, I'm not worth it"", 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my, gimme back my, gimme back', 'Heal a million, kill a million', 'Heal a million, kill a million', 'Heal a million, kill a million', ""In my eyes, I'm not lazy"", ""In my face, it's not over"", ""In your room, I'm not older"", ""In your eyes, I'm not worth it"", 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my, gimme back my, gimme back', 'Heal a million, kill a million', 'Heal a million, kill a million', 'Heal a million, kill a million', ""In my eyes, I'm not lazy"", ""In my face, it's not over"", ""In your room, I'm not older"", ""In your eyes, I'm not worth it"", 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my alcohol', 'Gimme back my, gimme back my, gimme back', 'Heal a million, kill a million', 'Heal a million, kill a million', 'Heal a million, kill a million']"
Seasons In The Sun,"[""Goodbye, my friend, it's hard to die"", 'When all the birds are singing in the sky', 'Now that the spring is in the air', 'Pretty girls are everywhere', ""Think of me and i'll be there"", 'Goodbye, papa, please, pray for me', 'i was the black sheep of the family', ""I don't know all these words"", 'I have bought three turds', 'With my BB-gun I would kill birds', 'We had joy, we had fun, we had seasons in the sun', 'But the hills that we climbed', 'Were just seasons out of time', 'All our lives, we had fun, we had seasons in the sun', 'But the stars that we reached were just starfish on the beach', 'Goodbye, Michelle, my little one', 'I was the apple of the shining sun', 'And I have loved you every week', 'All my tears are salty', 'I think that now I will start to leave', 'We had joy, we had fun, we had seasons in the sun', 'But the hills that we climbed', 'Were just seasons out of time', 'We had joy, we had fun, we had seasons in the sun', 'But the stars that we reached where just starfish on the beach', 'We had joy, we had fun, we had seasons in the sun', 'But the hills that we climbed', 'Were just seasons out of time', 'We had joy, we had fun, we had seasons in the sun', 'But the stars that we reached where just starfish on the beach']"
Seed,"['To hope is admittance', 'Feed before beginning', 'Double-sided cynics', 'Reflected images', ""Don't be so selfish"", 'Leaving me this', 'Follow it far', 'To find where you are', ""You haven't grown"", 'Go on alone', 'Never finished his sentence', 'Remained in seclusion', 'For the next few days', 'Family is circuling', 'He having moved up', 'All the styles of heresy', 'Finally he appeared unexpectedly', 'Looking for company']"
